TempField;ValidVotes;AffiliationIdentifier/RegisteredName;PartijTK;%Key_ReportingUnitVotes_8F8DEF71A3FD2A41;Gemeente;ReportingUnitIdentifier;ReportingUnitIdentifier/Id
;42;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;46;Partij van de Arbeid (P.v.d.A.);PvdA;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;12;VVD;VVD;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;11;GROENLINKS;GroenLinks;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;6;CDA;CDA;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;51;Democraten 66 (D66);D66;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;49;Partij van de Arbeid (P.v.d.A.);PvdA;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;60;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;12;VVD;VVD;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;18;GROENLINKS;GroenLinks;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;2;CDA;CDA;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;66;Democraten 66 (D66);D66;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;45;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;60;Democraten 66 (D66);D66;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;6;CDA;CDA;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;56;Partij van de Arbeid (P.v.d.A.);PvdA;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;44;VVD;VVD;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;16;GROENLINKS;GroenLinks;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;53;VVD;VVD;10127;AaenHunze;"Stembureau Dorpshuis 't Achterhoes Eexterveen (postcode: 9658 PH)";1680::SB15
;16;CDA;CDA;10127;AaenHunze;"Stembureau Dorpshuis 't Achterhoes Eexterveen (postcode: 9658 PH)";1680::SB15
;81;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;10127;AaenHunze;"Stembureau Dorpshuis 't Achterhoes Eexterveen (postcode: 9658 PH)";1680::SB15
;47;Partij van de Arbeid (P.v.d.A.);PvdA;10127;AaenHunze;"Stembureau Dorpshuis 't Achterhoes Eexterveen (postcode: 9658 PH)";1680::SB15
;20;GROENLINKS;GroenLinks;10127;AaenHunze;"Stembureau Dorpshuis 't Achterhoes Eexterveen (postcode: 9658 PH)";1680::SB15
;83;Democraten 66 (D66);D66;10127;AaenHunze;"Stembureau Dorpshuis 't Achterhoes Eexterveen (postcode: 9658 PH)";1680::SB15
;99;Democraten 66 (D66);D66;10800;AaenHunze;Stembureau Dorpshuis Annen (postcode: 9468 BG);1680::SB16
;319;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;10800;AaenHunze;Stembureau Dorpshuis Annen (postcode: 9468 BG);1680::SB16
;191;Partij van de Arbeid (P.v.d.A.);PvdA;10800;AaenHunze;Stembureau Dorpshuis Annen (postcode: 9468 BG);1680::SB16
;147;VVD;VVD;10800;AaenHunze;Stembureau Dorpshuis Annen (postcode: 9468 BG);1680::SB16
;77;GROENLINKS;GroenLinks;10800;AaenHunze;Stembureau Dorpshuis Annen (postcode: 9468 BG);1680::SB16
;72;CDA;CDA;10800;AaenHunze;Stembureau Dorpshuis Annen (postcode: 9468 BG);1680::SB16
;92;VVD;VVD;11473;AaenHunze;"Stembureau Verzorgingstehuis 't Holthuys Annen (postcode: 9468 HG)";1680::SB17
;78;Democraten 66 (D66);D66;11473;AaenHunze;"Stembureau Verzorgingstehuis 't Holthuys Annen (postcode: 9468 HG)";1680::SB17
;60;CDA;CDA;11473;AaenHunze;"Stembureau Verzorgingstehuis 't Holthuys Annen (postcode: 9468 HG)";1680::SB17
;299;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;11473;AaenHunze;"Stembureau Verzorgingstehuis 't Holthuys Annen (postcode: 9468 HG)";1680::SB17
;189;Partij van de Arbeid (P.v.d.A.);PvdA;11473;AaenHunze;"Stembureau Verzorgingstehuis 't Holthuys Annen (postcode: 9468 HG)";1680::SB17
;104;GROENLINKS;GroenLinks;11473;AaenHunze;"Stembureau Verzorgingstehuis 't Holthuys Annen (postcode: 9468 HG)";1680::SB17
;53;VVD;VVD;12146;AaenHunze;Stembureau Dorpshuis Schipborg (postcode: 9469 PE);1680::SB18
;91;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;12146;AaenHunze;Stembureau Dorpshuis Schipborg (postcode: 9469 PE);1680::SB18
;40;Partij van de Arbeid (P.v.d.A.);PvdA;12146;AaenHunze;Stembureau Dorpshuis Schipborg (postcode: 9469 PE);1680::SB18
;52;GROENLINKS;GroenLinks;12146;AaenHunze;Stembureau Dorpshuis Schipborg (postcode: 9469 PE);1680::SB18
;62;CDA;CDA;12146;AaenHunze;Stembureau Dorpshuis Schipborg (postcode: 9469 PE);1680::SB18
;34;Democraten 66 (D66);D66;12146;AaenHunze;Stembureau Dorpshuis Schipborg (postcode: 9469 PE);1680::SB18
;82;VVD;VVD;12819;AaenHunze;Stembureau St.Welzijn Aa en Hunze (Eext) (postcode: 9463 PP);1680::SB19
;39;CDA;CDA;12819;AaenHunze;Stembureau St.Welzijn Aa en Hunze (Eext) (postcode: 9463 PP);1680::SB19
;48;Democraten 66 (D66);D66;12819;AaenHunze;Stembureau St.Welzijn Aa en Hunze (Eext) (postcode: 9463 PP);1680::SB19
;72;GROENLINKS;GroenLinks;12819;AaenHunze;Stembureau St.Welzijn Aa en Hunze (Eext) (postcode: 9463 PP);1680::SB19
;346;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;12819;AaenHunze;Stembureau St.Welzijn Aa en Hunze (Eext) (postcode: 9463 PP);1680::SB19
;89;Partij van de Arbeid (P.v.d.A.);PvdA;12819;AaenHunze;Stembureau St.Welzijn Aa en Hunze (Eext) (postcode: 9463 PP);1680::SB19
;27;VVD;VVD;13492;AaenHunze;Stembureau Dorpshuis De Gasterije (Gasteren) (postcode: 9466 PL);1680::SB20
;91;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;13492;AaenHunze;Stembureau Dorpshuis De Gasterije (Gasteren) (postcode: 9466 PL);1680::SB20
;46;GROENLINKS;GroenLinks;13492;AaenHunze;Stembureau Dorpshuis De Gasterije (Gasteren) (postcode: 9466 PL);1680::SB20
;44;Partij van de Arbeid (P.v.d.A.);PvdA;13492;AaenHunze;Stembureau Dorpshuis De Gasterije (Gasteren) (postcode: 9466 PL);1680::SB20
;16;CDA;CDA;13492;AaenHunze;Stembureau Dorpshuis De Gasterije (Gasteren) (postcode: 9466 PL);1680::SB20
;23;Democraten 66 (D66);D66;13492;AaenHunze;Stembureau Dorpshuis De Gasterije (Gasteren) (postcode: 9466 PL);1680::SB20
;47;VVD;VVD;14165;AaenHunze;Stembureau Gemeenschapshuis Oes Stee (Anderen) (postcode: 9465 TS);1680::SB21
;40;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;14165;AaenHunze;Stembureau Gemeenschapshuis Oes Stee (Anderen) (postcode: 9465 TS);1680::SB21
;23;Democraten 66 (D66);D66;14165;AaenHunze;Stembureau Gemeenschapshuis Oes Stee (Anderen) (postcode: 9465 TS);1680::SB21
;15;Partij van de Arbeid (P.v.d.A.);PvdA;14165;AaenHunze;Stembureau Gemeenschapshuis Oes Stee (Anderen) (postcode: 9465 TS);1680::SB21
;36;GROENLINKS;GroenLinks;14165;AaenHunze;Stembureau Gemeenschapshuis Oes Stee (Anderen) (postcode: 9465 TS);1680::SB21
;10;CDA;CDA;14165;AaenHunze;Stembureau Gemeenschapshuis Oes Stee (Anderen) (postcode: 9465 TS);1680::SB21
